"Acc Name","Profit","xCPA","eCPA","ROI","CPC","B Cpc","TS","GEO"
"GDN-it4041","$127.18","-","-","32%","$23.38","$18.07","New","AT"
"-","-","-","-","-","-","-","-","AT"
"-","-","-","-","-","-","-","-","AT"
"-","-","-","-","-","-","-","-","AT"
"-","-","-","-","-","-","-","-","AT"
"-","-","-","-","-","-","-","-","AT"
"-","-","-","-","-","-","-","-","AT"
"-","-","-","-","-","-","-","-","AT"
"-","-","-","-","-","-","-","-","AT"
"-","-","-","-","-","-","-","-","AT"
"-","-","-","-","-","-","-","-","AT"
"GDN-us3568","$204.94","-","-","32%","$4.36","$8.01","Under","AT"
"-","-","-","-","-","-","-","-","AT"
"-","-","-","-","-","-","-","-","AT"
"-","-","-","-","-","-","-","-","AT"
"-","-","-","-","-","-","-","-","AT"
"-","-","-","-","-","-","-","-","AT"
"-","-","-","-","-","-","-","-","AT"
"-","-","-","-","-","-","-","-","AT"
"-","-","-","-","-","-","-","-","AT"
"-","-","-","-","-","-","-","-","AT"
"-","-","-","-","-","-","-","-","AT"
"-","-","-","-","-","-","-","-","IT"
"-","-","-","-","-","-","-","-","IT"
"-","-","-","-","-","-","-","-","IT"
"-","-","-","-","-","-","-","-","IT"
"-","-","-","-","-","-","-","-","IT"
"-","-","-","-","-","-","-","-","IT"
"-","-","-","-","-","-","-","-","IT"
"-","-","-","-","-","-","-","-","IT"
"-","-","-","-","-","-","-","-","IT"
"-","-","-","-","-","-","-","-","IT"
"-","-","-","-","-","-","-","-","IT"
"-","-","-","-","-","-","-","-","IT"
"-","-","-","-","-","-","-","-","MIX"
"-","-","-","-","-","-","-","-","IT"
"-","-","-","-","-","-","-","-","IT"
"GUL-nl1044 - FRM-108574","$8855.62","1660.43","$1660.43","32%","$33.58","$27.24","Normal","AT"
"-","-","-","-","-","-","-","-","AT"
"-","-","-","-","-","-","-","-","AT"
"-","-","-","-","-","-","-","-","AT"
"-","-","-","-","-","-","-","-","AT"
"-","-","-","-","-","-","-","-","AT"
"-","-","-","-","-","-","-","-","AT"
"-","-","-","-","-","-","-","-","AT"
"-","-","-","-","-","-","-","-","AT"
"-","-","-","-","-","-","-","-","AT"
"-","-","-","-","-","-","-","-","AT"
"-","-","-","-","-","-","-","-","AT"
"-","-","-","-","-","-","-","-","AT"
"-","-","-","-","-","-","-","-","AT"
"-","-","-","-","-","-","-","-","AT"
"-","-","-","-","-","-","-","-","AT"
"-","-","-","-","-","-","-","-","AT"
"-","-","-","-","-","-","-","-","AT"
"-","-","-","-","-","-","-","-","AT"